Channel,Case Type,Business Area,Case Stage,Primary Category,Secondaory Category,Tertiary Category,Case Ownership,Escalation LOBs,Owner Type,Queue Name,L0 To ,L0 CC,L1 To,L1 CC,L2 To,L2 CC,L3 To,L3 CC,L4 To,L4 CC,L5 To,L5 CC,L6 To,L6 CC
MSGP,Complaint,Distributor,,,,,L2A;L2B;L3A,MSGP,User,,L2A;L2B;L3A,L4,L3A,L2A;L2B;L3A,L5,L4;L3A,L5,L8A;L4;L3A,L8A,L9;L5;L4;L3A,L9,L8A;L5;L4;L3A,L10,L9;L8A;L5;L4;L3A
MSGP,Dealer Query,Distributor,,,,,L2A;L2B;L3A,MSGP,User,,L2A;L2B;L3A,L4,L3A,L2A;L2B;L3A,L5,L4;L3A,L5,L8A;L4;L3A,L8A,L9;L5;L4;L3A,L9,L8A;L5;L4;L3A,L10,L9;L8A;L5;L4;L3A
MSGP,Dealer Feedback,Distributor,,,,,L2A;L2B;L3A,MSGP,User,,L2A;L2B;L3A,L4,L3A,L2A;L2B;L3A,L5,L4;L3A,L5,L8A;L4;L3A,L8A,L9;L5;L4;L3A,L9,L8A;L5;L4;L3A,L10,L9;L8A;L5;L4;L3A
MSGP,Complaint,Workshops,,,,,L2A;L2B;L3A,MSGP,User,,L2A;L2B;L3A,L4,L3A,L2A;L2B;L3A,L5,L4;L3A,L5,L8A;L4;L3A,L8A,L9;L5;L4;L3A,L9,L8A;L5;L4;L3A,L10,L9;L8A;L5;L4;L3A
MSGP,Dealer Query,Workshops,,,,,L2A;L2B;L3A,MSGP,User,,L2A;L2B;L3A,L4,L3A,L2A;L2B;L3A,L5,L4;L3A,L5,L8A;L4;L3A,L8A,L9;L5;L4;L3A,L9,L8A;L5;L4;L3A,L10,L9;L8A;L5;L4;L3A
MSGP,Dealer Feedback,Workshops,,,,,L2A;L2B;L3A,MSGP,User,,L2A;L2B;L3A,L4,L3A,L2A;L2B;L3A,L5,L4;L3A,L5,L8A;L4;L3A,L8A,L9;L5;L4;L3A,L9,L8A;L5;L4;L3A,L10,L9;L8A;L5;L4;L3A
MSGP,MSIL Query,Workshops,,,,,MGR-CDS,MSGP,User,,MGR-CDS,L4,L4,MGR-CDS,L5,DH-CDS; MGR-CDS,L5,L8A;L4;L3A,L8A,L9;L5;L4;L3A,L9,L8A;L5;L4;L3A,L10,L9;L8A;L5;L4;L3A
MSDS,Complaint,Driving School,,,,,L1A;L2A;L2B;L3A,MSDS,User,,L3A,L5;L4,L8A;L6A,L5;L4;L3A,L5;L6A,L5;L4;L3A,L9,L3A;L4;L5;L6A;L7A;L8A,L9,L3A;L4;L5;L6A;L7A;L8A,L9,L3A;L4;L5;L6A;L7A;L8A,L9,L3A;L4;L5;L6A;L7A;L8A
MSDS,Dealer Query,Driving School,,,,,L1A;L2A;L2B;L3A,MSDS,User,,L3A,L5,L8A;L6A,L5;L3A,L5;L6A,L5;L4;L3A,L9,L3A;L4;L5;L6A;L7A;L8A,L9,L3A;L4;L5;L6A;L7A;L8A,L9,L3A;L4;L5;L6A;L7A;L8A,L9,L3A;L4;L5;L6A;L7A;L8A
MSDS,Dealer Feedback,Driving School,,,,,L1A;L2A;L2B;L3A,MSDS,User,,L3A,L5,L8A;L6A,L5;L3A,L5;L6A,L5;L4;L3A,L9,L3A;L4;L5;L6A;L7A;L8A,L9,L3A;L4;L5;L6A;L7A;L8A,L9,L3A;L4;L5;L6A;L7A;L8A,L9,L3A;L4;L5;L6A;L7A;L8A
MSDS,MSIL Query,Driving School,,Brand-MSDS,,,MGR-Brand,MSDS,User,,MGR-Brand,MGR-PPD;DH-Brand,DH-Brand,DH-PPD;MGR-Brand;MGR-PPD,DVH-Brand,DH-Brand;DH-PPD;MGR-Brand;MGR-PPD,DVH-Brand,DH-Brand;DH-PPD;MGR-Brand;MGR-PPD,DVH-Brand,DH-Brand;DH-PPD;MGR-Brand;MGR-PPD,DVH-Brand,DH-Brand;DH-PPD;MGR-Brand;MGR-PPD,DVH-Brand,DH-Brand;DH-PPD;MGR-Brand;MGR-PPD
MSDS,MSIL Query,Driving School,,,,,L5,MSDS,User,,L5,L8A,L8A,L5,,,,,,,,,,
Commercial,Complaint,Sales,,,,,L1A;L2A;L2B;L3A;L4,Sales,User,,L1A,L2A;L2B;L3A;L6A,L4,L2A;L2B;L3A;L6A,L5,L1A;L2A;L2B;L3A;L4;L6A;L7A,L8A,L1A;L2A;L2B;L3A;L4;L5;L6A;L7A,L8A,L1A;L2A;L2B;L3A;L4;L5;L6A;L7A,L8A,L1A;L2A;L2B;L3A;L4;L5;L6A;L7A,L8A,L1A;L2A;L2B;L3A;L4;L5;L6A;L7A
Commercial,Complaint,Sales,Pre Sales,,Program Explaination,,L1A;L2A;L2B;L3A;L4,Sales;Loyalty,User,,L1A,L2A;L2B;L3A;L6A;NM-LPD;DH-LPD,L4,L2A;L2B;L3A;L6A;NM-LPD;DH-LPD,L5;DH-LPD,L1A;L2A;L2B;L3A;L4;L6A;L7A;NM-LPD;DVH-MKT3,L8A,L1A;L2A;L2B;L3A;L4;L5;L6A;L7A;NM-LPD;DH-LPD;DVH-MKT3,L8A,L1A;L2A;L2B;L3A;L4;L5;L6A;L7A;NM-LPD;DH-LPD;DVH-MKT3,L8A,L1A;L2A;L2B;L3A;L4;L5;L6A;L7A;NM-LPD;DH-LPD;DVH-MKT3,L8A,L1A;L2A;L2B;L3A;L4;L5;L6A;L7A;NM-LPD;DH-LPD;DVH-MKT3
Commercial,Complaint,Sales,Post Sales,,Program Explaination/ Enrollment/ Bonus Points,,L1A;L2A;L2B;L3A;L4,Sales;Loyalty,User,,L1A,L2A;L2B;L3A;L6A;NM-LPD;DH-LPD,L4,L2A;L2B;L3A;L6A;NM-LPD;DH-LPD,L5;DH-LPD,L1A;L2A;L2B;L3A;L4;L6A;L7A;NM-LPD;DVH-MKT3,L8A,L1A;L2A;L2B;L3A;L4;L5;L6A;L7A;NM-LPD;DH-LPD;DVH-MKT3,L8A,L1A;L2A;L2B;L3A;L4;L5;L6A;L7A;NM-LPD;DH-LPD;DVH-MKT3,L8A,L1A;L2A;L2B;L3A;L4;L5;L6A;L7A;NM-LPD;DH-LPD;DVH-MKT3,L8A,L1A;L2A;L2B;L3A;L4;L5;L6A;L7A;NM-LPD;DH-LPD;DVH-MKT3
Commercial,Complaint,Sales,Post Sales,,Points Redemption/ Offers/ Transactional,,L1A;L2A;L2B;L3A;L4,Sales;Loyalty,User,,L1A,L2A;L2B;L3A;L6A;NM-LPD;DH-LPD,L4,L2A;L2B;L3A;L6A;NM-LPD;DH-LPD,L5;DH-LPD,L1A;L2A;L2B;L3A;L4;L6A;L7A;NM-LPD;DVH-MKT3,L8A,L1A;L2A;L2B;L3A;L4;L5;L6A;L7A;NM-LPD;DH-LPD;DVH-MKT3,L8A,L1A;L2A;L2B;L3A;L4;L5;L6A;L7A;NM-LPD;DH-LPD;DVH-MKT3,L8A,L1A;L2A;L2B;L3A;L4;L5;L6A;L7A;NM-LPD;DH-LPD;DVH-MKT3,L8A,L1A;L2A;L2B;L3A;L4;L5;L6A;L7A;NM-LPD;DH-LPD;DVH-MKT3
Commercial,Complaint,Sales,Post Sales,,Pragati Insurance Related,,L1A;L2A;L2B;L3A;L4,Sales;Loyalty,User,,L1A,L2A;L2B;L3A;L6A;NM-LPD;DH-LPD,L4,L2A;L2B;L3A;L6A;NM-LPD;DH-LPD,L5;DH-LPD,L1A;L2A;L2B;L3A;L4;L6A;L7A;NM-LPD;DVH-MKT3,L8A,L1A;L2A;L2B;L3A;L4;L5;L6A;L7A;NM-LPD;DH-LPD;DVH-MKT3,L8A,L1A;L2A;L2B;L3A;L4;L5;L6A;L7A;NM-LPD;DH-LPD;DVH-MKT3,L8A,L1A;L2A;L2B;L3A;L4;L5;L6A;L7A;NM-LPD;DH-LPD;DVH-MKT3,L8A,L1A;L2A;L2B;L3A;L4;L5;L6A;L7A;NM-LPD;DH-LPD;DVH-MKT3
Commercial,Complaint,Accessories,Pre Sales,,Accessories Pending,,L1A;L2A;L2B;L3A;L4,Sales;Accessories,User,,L3A,L4;L6A,L4,L5;L3A;L6A,L5,L8A;L4;L3A;L6A;L7A,L8A,L5;L4;L3A;L6A;L7A,L8A,L5;L4;L3A;L6A;L7A,L8A,L5;L4;L3A;L6A;L7A,L8A,L5;L4;L3A;L6A;L7A
